,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'PGCD', 'DCTPD'}",3,0.20574005405531576,0.010563345343176378,0.0,0.2285999999999942
1,"{'RNDR4', 'FNOR', 'DCTPD'}",3,0.20574050386277026,0.010563345343176378,0.0,0.22859999999991917
2,"{'RNDR4', 'GTHS', 'DCTPD'}",3,0.20574013513144496,0.010563345343176378,0.0,0.22859999999991917
3,"{'RNDR4', 'NADTRHD', 'DCTPD'}",3,0.20574096569584702,0.010563345341819672,0.0,0.22859999999999056
4,"{'RNDR4', 'PYK', 'DCTPD'}",3,0.20574101080953033,0.010563345341819672,0.0,0.22859999999999056
5,"{'RNDR4', 'PGL', 'DCTPD'}",3,0.20574059696626512,0.010563345340638759,0.0,0.22859999999999056
6,"{'RNDR4', 'PSP_L', 'DCTPD'}",3,0.20574013513159528,0.010563345343176378,0.0,0.22859999999999056
7,"{'RNDR4', 'FBA3', 'DCTPD'}",3,0.20574000000015588,0.010563345343176378,0.0,0.22859999999999012
8,"{'RNDR4', 'FBA', 'DCTPD'}",3,0.20574096569582934,0.010563345341819672,0.0,0.2286000000000226
9,"{'RNDR4', 'DMPPS_syn', 'DCTPD'}",3,0.20574050386301646,0.010563345343176378,0.0,0.22859999999997938
