,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'ANS', 'GND', 'RNDR4', 'DCTPD'}",4,0.20574063733948916,0.010563345333391566,0.0,0.22860000000000497
1,"{'RNDR4', 'AGDC', 'AMPTASECG', 'DCTPD'}",4,0.20574042278675558,0.010563345343176378,0.0,0.22860000000000497
2,"{'RNDR4', 'NADTRHD', 'TALA', 'DCTPD'}",4,0.20574131473039853,0.010563345343176378,0.0,0.22860000000013078
3,"{'RNDR4', 'CAT', 'FBP', 'DCTPD'}",4,0.20574058327115974,0.010563345343176378,0.0,0.2286000000000468
4,"{'RNDR4', 'AGDC', 'PSP_L', 'DCTPD'}",4,0.20574059695342584,0.010563345343176378,0.0,0.2285999999999999
5,"{'GLUSfx', 'PSERT', 'RNDR4', 'DCTPD'}",4,0.20574042279247504,0.010563345343176378,0.0,0.2285999999999999
6,"{'RNDR4', 'PSERT', 'AGDC', 'DCTPD'}",4,0.20574022822492577,0.010563345343176378,0.0,0.2285999999999999
7,"{'RNDR4', 'SBP', 'DCTPD', 'IPDPS'}",4,0.2057408201474501,0.010563345343176378,0.0,0.22859999999999833
8,"{'ANS', 'FNOR', 'RNDR4', 'DCTPD'}",4,0.2057405969531279,0.010563345343176378,0.0,0.2286000000004493
9,"{'RNDR4', 'DMPPS_syn', 'VPAMTr', 'DCTPD'}",4,0.20573999999981077,0.010563345343176378,0.0,0.2286000000004493
