,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'PEPC', 'GART', 'FDH6'}",3,0.20574102539392647,0.010563345343176378,0.0,0.22859999999992908
1,"{'RNDR4', 'PEPC', 'DCTPD'}",3,0.20574075743748646,0.010563345343176378,0.0,0.2285999999999994
2,"{'RNDR4', 'FBA', 'DCTPD'}",3,0.2057405832656772,0.010563345343176378,0.0,0.22860000000000014
3,"{'GTHPi', 'GART', 'FDH6'}",3,0.20574073628637685,0.010563345341819672,0.0,0.22860000000000014
4,"{'RNDR4', 'AMPTASECG', 'DCTPD'}",3,0.2057414564240951,0.010563345341819672,0.0,0.22860000000002856
5,"{'RNDR4', 'PPA', 'DCTPD'}",3,0.20574100487102273,0.010563345343176378,0.0,0.22860000000002856
6,"{'RNDR4', 'SBP', 'DCTPD'}",3,0.20574094599339796,0.010563345343176378,0.0,0.22859999999997638
7,"{'ALAGLUE', 'RNDR4', 'DCTPD'}",3,0.2057413735986741,0.010563345343176378,0.0,0.22859999999997424
8,"{'RNDR4', 'FBP', 'DCTPD'}",3,0.2057413147248546,0.010563345343176378,0.0,0.22860000000000336
9,"{'FDH6', 'GART', 'PPKr'}",3,0.20574137359376693,0.010563345343176378,0.0,0.2286000000000066
