,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'FDH6', 'PYK', 'GART'}",3,0.2057405969601984,0.010563345341819672,0.0,0.228600000000005
1,"{'FDH6', 'GART', 'VALTA'}",3,0.2057405070075386,0.010563345343176378,0.0,0.22859999999999783
2,"{'GND', 'GART', 'PGCD'}",3,0.1692384835884912,0.02743128246266152,0.0,0.16982995076311622
3,"{'FDH6', 'CAT', 'GART'}",3,0.2057416893327474,0.010563345340638759,0.0,0.22859999999999997
4,"{'PSERT', 'GND', 'GART'}",3,0.16923777358827896,0.027431282467303433,0.0,0.16982995076311885
5,"{'PSERT', 'G6PDH2r', 'GART'}",3,0.16923681606379096,0.027431282462622643,0.0,0.16982995076312085
