,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6', 'NADTRHD'}",3,0.20574079033517909,0.010563345340638759,0.0,0.2285999999999573
1,"{'RNDR4', 'NDPK6', 'AGDC'}",3,0.20574013513142853,0.010563345343176317,0.0,0.22859999999999978
2,"{'RNDR4', 'PPA', 'NDPK6'}",3,0.20574042279083887,0.010563345340638759,0.0,0.22859999999999978
3,"{'RNDR4', 'AGDC', 'DCTPD'}",3,0.205740351132347,0.010563345343176378,0.0,0.2286000000000137
4,"{'RNDR4', 'G6PDH2r', 'DCTPD'}",3,0.20574123386080007,0.010563345343176378,0.0,0.22859999999995076
5,"{'RNDR4', 'NADTRHD', 'DCTPD'}",3,0.2057403627313602,0.010563345341819672,0.0,0.22859999999995076
6,"{'RNDR4', 'TRDR', 'DCTPD'}",3,0.205740135131575,0.010563345343176378,0.0,0.22859999999995076
7,"{'RNDR4', 'AMPTASECG', 'DCTPD'}",3,0.2057399999999736,0.010563345343176378,0.0,0.22859999999995076
8,"{'RNDR4', 'NDPK6', 'TRDRf'}",3,0.20574122792806562,0.010563345341819672,0.0,0.2286000000000137
9,"{'RNDR4', 'NDPK6', 'PGCD'}",3,0.20574042278946575,0.010563345341819672,0.0,0.22859999999995076
