,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6'}",2,0.2057401351308712,0.010563345343176378,0.0,0.22859999999997538
1,"{'FDH6', 'GART'}",2,0.20573999999990567,0.010563345343176378,0.0,0.2286000000000001
2,"{'PSERT', 'PGL'}",2,0.1689020688048232,0.02758657471003889,0.0,0.16949724548052658
3,"{'PGL', 'PGCD'}",2,0.16890121091519067,0.02758657470262372,0.0,0.16949724548033068
4,"{'RNDR4', 'NDPK6', 'AGDC'}",3,0.20574013513142836,0.010563345343176378,0.0,0.22860000000003677
5,"{'RNDR4', 'PGL', 'NDPK6'}",3,0.20574013513159572,0.010563345343176378,0.0,0.22859999999997538
6,"{'RNDR4', 'NDPK6', 'MLTGY4pp'}",3,0.20574125454971542,0.010563345333391566,0.0,0.22859999999997538
7,"{'RNDR4', 'NDPK6', 'GTHPi'}",3,0.20574131473307014,0.010563345341819672,0.0,0.22859999999997538
8,"{'RNDR4', 'NDPK6', 'PEPC'}",3,0.20573999999999998,0.010563345343176378,0.0,0.22859999999997538
9,"{'RNDR4', 'NDPK6', 'ANHMK'}",3,0.20573999999999998,0.010563345343176378,0.0,0.22859999999997538
