,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'AGDC', 'SPTr', 'DCTPD'}",4,0.20574079152295788,0.010563345341819672,0.0,0.22860000000000003
1,"{'RNDR4', 'AGDC', 'FBP', 'DCTPD'}",4,0.20574092665521432,0.010563345341819672,0.0,0.22859999999999997
2,"{'RNDR4', 'GLCS3', 'ANHMK', 'DCTPD'}",4,0.2057413233178091,0.010563345343176378,0.0,0.22859999999999997
3,"{'RNDR4', 'ALAD_L', 'FBP', 'DCTPD'}",4,0.20574118881909612,0.010563345340638759,0.0,0.2286
4,"{'ALAGLUE', 'ACODA', 'DCTPD', 'RNDR4'}",4,0.20574042278899032,0.010563345343176378,0.0,0.2286
5,"{'FDH6', 'GART', 'FBP', 'TRPS3'}",4,0.20574055792127946,0.010563345343176378,0.0,0.22860000000000003
6,"{'FDH6', 'CAT', 'GART', 'VPAMTr'}",4,0.20574100605092058,0.010563345343176378,0.0,0.22859999999999975
7,"{'RNDR4', 'G6PDH2r', 'ORNTAC', 'FBP', 'DCTPD'}",5,0.20574177536746358,0.010563345340638759,0.0,0.22859999999999994
8,"{'FBA', 'RNDR4', 'PYK', 'G6PDH2r', 'DCTPD'}",5,0.2057409656930525,0.010563345341819672,0.0,0.2286000000000001
9,"{'FBA', 'HEX7', 'RNDR4', 'DCTPD', 'VPAMTr'}",5,0.2057405429051278,0.010563345343176378,0.0,0.2285999999999999
