,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6', 'PGL'}",3,0.20574150077461914,0.010563345343176378,0.0,0.22859999999999983
1,"{'RNDR4', 'TRPS1', 'NDPK6'}",3,0.20574042278380503,0.010563345343176378,0.0,0.22859999999999994
2,"{'RNDR4', 'NDPK6', 'IPDDI'}",3,0.20574132011098795,0.010563345341819672,0.0,0.22859999999999994
3,"{'RNDR4', 'PEPC', 'DCTPD'}",3,0.20574106311624393,0.010563345343176378,0.0,0.22859999999999975
4,"{'RNDR4', 'NDPK6', 'FBA'}",3,0.20574099747284752,0.010563345340638759,0.0,0.22860000000000014
5,"{'RNDR4', 'NDPK6', 'FBA3'}",3,0.20574068118650207,0.010563345341819672,0.0,0.2285999999999997
6,"{'RNDR4', 'NDPK6', 'GLUSfx'}",3,0.20574092860701818,0.010563345343176378,0.0,0.2285999999999997
7,"{'RNDR4', 'NADTRHD', 'DCTPD'}",3,0.20574194632314696,0.010563345343176378,0.0,0.22860000000000014
8,"{'ANS', 'NDPK6', 'RNDR4'}",3,0.20574194632360235,0.010563345341819672,0.0,0.22859999999999744
9,"{'RNDR4', 'PGL', 'DCTPD'}",3,0.20574095738229126,0.010563345343176378,0.0,0.22859999999999744
