,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'MDDCP2pp', 'SPTr', 'DCTPD'}",4,0.20574163059365938,0.010563345341819672,0.0,0.22859999999999414
1,"{'RNDR4', 'DMPPS_syn', 'NADTRHD', 'DCTPD'}",4,0.20574113937110763,0.010563345341819672,0.0,0.22859999999999414
2,"{'RNDR4', 'GLYCK', 'AMPTASECG', 'DCTPD'}",4,0.20574110500632153,0.010563345343176378,0.0,0.22859999999999414
3,"{'RNDR4', 'CAT', 'G6PDH2r', 'DCTPD'}",4,0.20574107317041201,0.010563345343176378,0.0,0.2286000000000401
4,"{'RNDR4', 'GLYDHDA', 'ACM6PH', 'DCTPD'}",4,0.20574092484145282,0.010563345343176378,0.0,0.2286000000000401
5,"{'RNDR4', 'GAPD', 'GLUSfx', 'DCTPD'}",4,0.20574135718701556,0.010563345343176378,0.0,0.2286000000000401
6,"{'RNDR4', 'ACGAMK', 'PGCD', 'DCTPD'}",4,0.20574135719311323,0.010563345343176378,0.0,0.2286000000000401
7,"{'RNDR4', 'OPAH', 'PPKr', 'DCTPD'}",4,0.20574130837280452,0.010563345341819672,0.0,0.2286000000000401
8,"{'RNDR4', 'FBA', 'AGDC', 'DCTPD'}",4,0.20574081149102466,0.010563345343176378,0.0,0.2286000000000401
9,"{'RNDR4', 'G6PDH2r', 'FNOR', 'DCTPD'}",4,0.2057412029960111,0.010563345343176378,0.0,0.22859999999999403
