,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'DCTPD'}",2,0.20574178528482437,0.010563345341819672,0.0,0.2286000000000137
1,"{'PSP_L', 'GND'}",2,0.1689037321085965,0.027586574702100623,0.0,0.1694972454807323
2,"{'PGL', 'PSP_L'}",2,0.16890171591478137,0.027586574704879754,0.0,0.1694972454802397
3,"{'PSERT', 'PGL'}",2,0.16890060083597175,0.02758657471418931,0.0,0.16949724548028347
4,"{'PSP_L', 'G6PDH2r'}",2,0.16890060086109854,0.027586574702632816,0.0,0.16949724548024006
5,"{'PSERT', 'G6PDH2r'}",2,0.16890024795983255,0.027586574702628444,0.0,0.16949724548023806
6,"{'G6PDH2r', 'PGCD'}",2,0.16890024795377642,0.027586574705435574,0.0,0.1694972454802376
7,"{'PSERT', 'GND'}",2,0.168900247959895,0.027586574702610556,0.0,0.16949724548024064
8,"{'GND', 'PGCD'}",2,0.1689012109171352,0.02758657470174324,0.0,0.16949724548023937
9,"{'PGL', 'PGCD'}",2,0.16890024795985134,0.027586574702624614,0.0,0.16949724548033068
