Strategy,Flux,Biomass,N_of_deletions,C_limit
"['FDH6', 'AGDC', 'PGCD', 'GART', 'AMPTASECG']",0.2057405969534668,0.0105633453431763,5,12
"['GLUSfx', 'FDH6', 'AGDC', 'G6PDH2r', 'GART']",0.2057409656905451,0.0105633453418196,5,12
"['GLUSfx', 'FDH6', 'GND', 'GART', 'PSP_L']",0.2057409656902518,0.0105633453418196,5,12
"['PDH', 'FDH6', 'GART', 'FBA3', 'VPAMTr']",0.2057411686377962,0.0105633453418196,5,12
"['FDH6', 'GART', 'FBA3', 'ACGS', 'ACGAMK']",0.2057409884567542,0.0105633453418196,5,12
"['GGCLUT2', 'FDH6', 'AGDC', 'PSERT', 'GART']",0.2057421767825808,0.0105633453418196,5,12
"['HEX7', 'AGTi', 'FDH6', 'GART', 'AMPTASECG']",0.2057411411812197,0.0105633453431763,5,12
"['PSERT', 'AGDC', 'FDH6', 'GART', 'FBA3']",0.2057409884620381,0.0105633453431763,5,12
"['RNDR4', 'NDPK6', 'OPAH', 'GTHRDH']",0.2057413147221179,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'GLYCK', 'PEPC']",0.205740596966265,0.0105633453406387,4,12
"['RNDR4', 'NDPK6', 'SBP', 'PGL']",0.2057410188344912,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'G6PDH2r', 'FNOR']",0.2057399999994739,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'SBP', 'TRDRf']",0.2057409248416321,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'PPS', 'PDH']",0.2057407314641229,0.0105633453406387,4,12
"['RNDR4', 'NDPK6', 'GND', 'FNOR']",0.2057405572996775,0.0105633453406387,4,12
"['RNDR4', 'NDPK6', 'TALA', 'ASPO6']",0.2057405572900389,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'NADTRHD', 'PFK']",0.2057404227951834,0.0105633453418196,4,12
"['TALA', 'RNDR4', 'NDPK6', 'PDH', 'PGL']",0.2057411001928694,0.0105633453431763,5,12
