,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'PEPC', 'DCTPD'}",3,0.2057412935675262,0.010563345341819672,0.0,0.22860000000000114
1,"{'RNDR4', 'FNOR', 'DCTPD'}",3,0.20574110019648598,0.010563345343176378,0.0,0.22859999999999978
2,"{'RNDR4', 'DCTPD2', 'PSP_L', 'DCTPD'}",4,0.20574059696470012,0.010563345341819672,0.0,0.22859999999999991
3,"{'RNDR4', 'PEPC', 'AMPTASECG', 'DCTPD'}",4,0.20574135768207216,0.010563345341819672,0.0,0.22859999999999991
4,"{'RNDR4', 'PGL', 'FNOR', 'DCTPD'}",4,0.20574110019691874,0.010563345343176378,0.0,0.2285999999999999
5,"{'RNDR4', 'PPA', 'TALA', 'DCTPD'}",4,0.20574131473286864,0.010563345341819672,0.0,0.22860000000000014
6,"{'RNDR4', 'GND', 'ACGAMK', 'DCTPD'}",4,0.20574131474787108,0.010563345333391566,0.0,0.22860000000000025
7,"{'RNDR4', 'ME2', 'CAT', 'DCTPD'}",4,0.20574036873126558,0.010563345343176378,0.0,0.22860000000000005
8,"{'RNDR4', 'DCTPD', 'TALA', 'AGTi'}",4,0.2057399999997175,0.010563345343176378,0.0,0.2285999999999999
9,"{'RNDR4', 'PSP_L', 'FBP', 'DCTPD'}",4,0.20574110019645594,0.010563345343176378,0.0,0.22860000000004624
