,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'AGDC', 'DCTPD'}",3,0.20574131472821502,0.010563345343176378,0.0,0.22859999999999925
1,"{'RNDR4', 'G6PDH2r', 'DCTPD'}",3,0.20574173122917153,0.010563345343176378,0.0,0.22859999999999925
2,"{'RNDR4', 'FBA', 'DCTPD'}",3,0.20574091165768807,0.010563345331201764,0.0,0.22859999999999978
3,"{'RNDR4', 'GLYCOR_nadp', 'DCTPD'}",3,0.20574042278381277,0.010563345343176378,0.0,0.22860000000000028
4,"{'RNDR4', 'FNOR', 'DCTPD'}",3,0.20574135718743153,0.010563345343176378,0.0,0.22860000000001457
5,"{'RNDR4', 'TALA', 'DCTPD'}",3,0.20574079152331007,0.010563345341819672,0.0,0.22860000000001685
6,"{'RNDR4', 'PSP_L', 'DCTPD'}",3,0.2057412622757518,0.010563345343176378,0.0,0.22859999999998284
7,"{'RNDR4', 'GLUSfx', 'DCTPD'}",3,0.2057409884594306,0.010563345341819672,0.0,0.22859999999998284
8,"{'RNDR4', 'FUM', 'DCTPD'}",3,0.2043545153376939,0.010563345340638759,0.0,0.22859999999998284
9,"{'RNDR4', 'ALAD_L', 'DCTPD'}",3,0.2057414165493217,0.010563345343176378,0.0,0.22860000000003844
