,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'FBA', 'DCTPD'}",3,0.20574096854763826,0.010563345343176378,0.0,0.22860000000000738
1,"{'RNDR4', 'NDPK6', 'ACM6PH'}",3,0.20573999999987788,0.010563345343176378,0.0,0.22860000000000233
2,"{'RNDR4', 'PGL', 'DCTPD'}",3,0.2057409248565638,0.010563345331201764,0.0,0.22860000000000233
3,"{'FDH6', 'CAT', 'GART'}",3,0.20574059695943087,0.010563345341819672,0.0,0.2285999999999999
4,"{'RNDR4', 'NDPK6', 'GLUSfx'}",3,0.20574106310799517,0.010563345343176378,0.0,0.2286000000000366
5,"{'RNDR4', 'TALA', 'DCTPD'}",3,0.2057401351315953,0.010563345343176378,0.0,0.22860000000000685
6,"{'RNDR4', 'NDPK6', 'FBA'}",3,0.20574087456049525,0.010563345341819672,0.0,0.22859999999999991
7,"{'RNDR4', 'NDPK6', 'FBA3'}",3,0.20574073524878927,0.010563345333391566,0.0,0.2285999999999759
8,"{'RNDR4', 'PPA', 'DCTPD'}",3,0.20574101080970353,0.010563345341819672,0.0,0.22860000000003383
9,"{'FDH6', 'GART', 'TRPS3'}",3,0.2057406811860449,0.010563345343176378,0.0,0.22860000000003383
