,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'ANHMK', 'DCTPD'}",3,0.205741100198231,0.010563345341819672,0.0,0.22860000000000108
1,"{'RNDR4', 'FNOR', 'DCTPD'}",3,0.2057415505650562,0.010563345341819672,0.0,0.22859999999996872
2,"{'RNDR4', 'NDPK6', 'FNOR'}",3,0.20574129357340437,0.010563345341819672,0.0,0.22859999999997196
3,"{'RNDR4', 'NDPK6', 'AMPTASECG'}",3,0.2057408372628601,0.010563345341819672,0.0,0.2285999999998981
4,"{'RNDR4', 'NDPK6', 'ACM6PH'}",3,0.20574013513159528,0.010563345343176378,0.0,0.2285999999998981
5,"{'RNDR4', 'ALAD_L', 'DCTPD'}",3,0.2057405969647451,0.010563345341819672,0.0,0.2286000000000018
6,"{'RNDR4', 'NDPK6', 'TRPS1'}",3,0.20573999999998066,0.010563345343176378,0.0,0.22860000000000233
7,"{'RNDR4', 'PGL', 'DCTPD'}",3,0.20574054570254582,0.010563345343176378,0.0,0.22860000000000233
8,"{'RNDR4', 'ACM6PH', 'DCTPD'}",3,0.20574041447339372,0.010563345343176378,0.0,0.22860000000000738
9,"{'RNDR4', 'ME2', 'DCTPD'}",3,0.2057406850157555,0.010563345343176378,0.0,0.22860000000000738
