,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6', 'PGCD', 'G6PDA'}",4,0.2057413571934513,0.010563345341819672,0.0,0.22860000000000488
1,"{'RNDR4', 'NDPK6', 'PGCD', 'FBP'}",4,0.20574052335010973,0.010563345343176378,0.0,0.22860000000000005
2,"{'RNDR4', 'PPA', 'TALA', 'DCTPD'}",4,0.20574194953807692,0.010563345341819672,0.0,0.2286
3,"{'RNDR4', 'PYK', 'GLYCK', 'NDPK6'}",4,0.20574013515761702,0.010563345331201764,0.0,0.2286
4,"{'RNDR4', 'NDPK6', 'ACGAMK', 'OPAH'}",4,0.2057405969593702,0.010563345341819672,0.0,0.22859999999999905
5,"{'RNDR4', 'FBA', 'LDH_D', 'DCTPD'}",4,0.2057417312324095,0.010563345341819672,0.0,0.2285999999999999
6,"{'RNDR4', 'PPA', 'GLUSfx', 'DCTPD'}",4,0.20574115906764992,0.010563345343176378,0.0,0.22860000000000133
7,"{'RNDR4', 'PGCD', 'FBA3', 'DCTPD'}",4,0.20574073146738125,0.010563345343176378,0.0,0.2286
8,"{'RNDR4', 'FBA', 'PDH', 'NDPK6'}",4,0.205741426121018,0.010563345341819672,0.0,0.2286
9,"{'RNDR4', 'TALA', 'ALAD_L', 'DCTPD'}",4,0.20574081428428678,0.010563345343176378,0.0,0.22860000000000005
