,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'DCTPD'}",2,0.20574058326862515,0.010563345343176378,0.0,0.22860000000004377
1,"{'RNDR4', 'PPKr', 'DCTPD'}",3,0.20574127568694717,0.010563345343176378,0.0,0.22860000000000025
2,"{'RNDR4', 'PGCD', 'DCTPD'}",3,0.20574087455508008,0.010563345341819672,0.0,0.22860000000004377
3,"{'RNDR4', 'G6PDH2r', 'DCTPD'}",3,0.20574110019115868,0.010563345343176378,0.0,0.22860000000004377
4,"{'RNDR4', 'PYK', 'DCTPD'}",3,0.20574054299986488,0.010563345297306756,0.0,0.22860000000004377
5,"{'RNDR4', 'FBP', 'DCTPD'}",3,0.2057402282276131,0.010563345341819672,0.0,0.22860000000004377
6,"{'RNDR4', 'ACM6PH', 'DCTPD'}",3,0.20574181922631993,0.010563345340638759,0.0,0.22860000000004377
7,"{'RNDR4', 'VPAMTr', 'DCTPD'}",3,0.20574092484223586,0.010563345341819672,0.0,0.22860000000004377
8,"{'RNDR4', 'GLCS3', 'DCTPD'}",3,0.205741379540146,0.010563345343176378,0.0,0.22860000000004377
9,"{'RNDR4', 'GLUSfx', 'DCTPD'}",3,0.20574058327132924,0.010563345341819672,0.0,0.22860000000004377
