,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'ACODA', 'NDPK6', 'GAPD'}",4,0.20574075743559594,0.010563345343176378,0.0,0.22860000000000003
1,"{'RNDR4', 'SBP', 'NDPK6', 'IPDPS'}",4,0.2057413683817431,0.010563345331201764,0.0,0.22859999999999991
2,"{'RNDR4', 'PGCD', 'FBP', 'DCTPD'}",4,0.20574105968988712,0.010563345341819672,0.0,0.2285999999999823
3,"{'RNDR4', 'GTHS', 'LALGP', 'DCTPD', 'VPAMTr'}",5,0.2057400000003672,0.010563345343176317,0.0,0.2285999999999999
4,"{'GLUSfx', 'RNDR4', 'NDPK6', 'PGCD', 'PSP_L'}",5,0.20574077665127824,0.010563345341819672,0.0,0.2286
5,"{'RNDR4', 'GTHS', 'IPDDI', 'DCTPD', 'PSP_L'}",5,0.20574103363419213,0.010563345343176317,0.0,0.22859999999999991
6,"{'RNDR4', 'AGDC', 'DCTPD', 'NADTRHD', 'VPAMTr'}",5,0.20574093083662376,0.010563345343176378,0.0,0.22860000000000005
7,"{'RNDR4', 'PYK', 'GLYDHDA', 'SBP', 'DCTPD'}",5,0.20573999999992318,0.010563345343176378,0.0,0.22860000000000005
8,"{'FBA', 'RNDR4', 'NDPK6', 'AGDC', 'PSP_L'}",5,0.20574091164349892,0.010563345341819672,0.0,0.22860000000001193
9,"{'TALA', 'IPDPS', 'RNDR4', 'ADPGDP', 'DCTPD'}",5,0.2057411255408875,0.010563345343176378,0.0,0.22859999999999925
