,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling
3HAD120,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
EAR80y,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAS160,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAR60,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAR80,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
KAS15,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAR120,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAS60,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
EAR120y,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3HAD40_1,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3HAD80,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAR160,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAS80,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3HAD140,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAR140,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
EAR100y,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
3OAS120,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
EAR40y,0.033336,0.054735,0.076135,0.097535,0.118935,0.140334,0.161734,0.183134,0.204534,0.225933,0.192597,True
SPTr,-0.160198,-0.144354,-0.12851,-0.112667,-0.096823,-0.080979,-0.065135,-0.049292,-0.033448,-0.017604,0.142594,True
GLYCL,0.0,0.0,0.0,0.000984,0.003687,0.006389,0.009092,0.011795,0.014497,0.0172,0.0172,False
NAt3ipp,1.971543,1.973368,1.975194,1.977019,1.978845,1.98067,1.982496,1.984321,1.986146,1.987972,0.016429000000000027,True
IPDDI,-0.007487,-0.006746,-0.006006,-0.005266,-0.004525,-0.003785,-0.003044,-0.002304,-0.001563,-0.000823,0.006664,True
