Reaction_id
EX_o2_e
OPMEACPD
OGMEACPS
THRTRS
CITCIa
OGMEACPD
PRE3BS
DHAD2
UPP3MT
PSIIum
DPCOAK
UAAGDS
RBFSa
AGPATACP_OLE_HDE
PSCVT
CS
PGLYCP
DM_amob_c
DXPS
OCBT
PANTS
QULNS
KARI
SHKK
3OAS100
MPPM
DHNCOAS
H4THDPR
UAPGR
METS
MG2uabcpp
HPPK
LIPOCT
HSDyi
PPBNGS
HISTRS
TMPPP
EAR160y
MAN6PI
GLU5K
HBZNPT
UPP3S
3OAR120
UAGCVT
PC8XM
ACMAMT
PHYTES2
ASNS1
EX_cobalt2_e
NAMNPP
ALAR
PQH2tum
HISTP
LPOR
GLUDGE_OLE_PALM
KARA1i
GAPDi_nadp
SULabcpp
IPMD
GLUR
UGMDDS
G3PD2
ACOTA
LYSTRS
EX_so4_e
IGPDH
UDPG4E
BM_COFACTORS
UAG2E
ADCPS2
URIDK2r
LEUTRS
SERAT
ATPSum
OPMEACPS
3OAR160
TMPK
GLNS
METAT
GTPCII
NDPK8
SHK3Dr
THRS
BM_MEM_LIPIDS
CBFCum
ALDDC17
MOAT
SEPHCHCS
MTHFC
DTMPK
IMDHT_3c2hmp
KDOPP
NO3tex
KARI_23dhmp
3OAR180
3OAR140
3HAD180
ICLIPAabcpp
ICHORS
CYRDAR
3HAD120
COBALT2tex
THII
OMPDC
AHCi
MPOMT
DVOCHR
O2tcx
EX_pi_e
PTPATi
Cobalt2abcppI
ACLSb
DNMPPA
GLNTRS
SADT
FE3tex
3PGtcx
EGMEACPR
DAPE
EAR100y
ACHBSb
ACLSa
DB4PS
BCAROHX2
ALDR18
Htcx
DHPPDA
OGMEACPR
HOXGfx
PC17M
ADNK1
BPNT
RPE
BM_CELL_WALL
RNDR1
OANTILpp
GK1
PAPA161
ACBIPGT
EX_mg2_e
G1SAT
UAGDP
PC6YM
Ktex
MECDPDHf
RBPCcx
SUCBZL
H4THDPS
PGAMT
NNDPR
LYCBC1
UHGADA2
EAR60y
BM_PROTEIN
MALCOAMT
ADCYRS
O2tu
MTHFD
3OAR40_1
PGI
AGPAT161
ADSK
NO3abcpp
GLUDGS_OLE_PALM
DHAD1
CYSTRS
NDPK4
THRPD
PGK
DGDGS_OLE_HDE
UAGPT3
GRTT
DHORTS
3HAD100
AOXSr2
DGDGS_HDE_HDE
RZ5PP
RBFK
ADK1
CHPHYS
UDCPDPS
PPCDC
MCOATA
TKT2
HMBS
ASPCT
AGPATACP_HDE_PALM
MSBENZMT
G1PACT
EAR140y
FOLD3
VALTRS
AGPR
GTPCI
NNDMBRT
ASNTRS
PSIICSum
APRAUR
PPK2r
DHNANT
PAPSR
THISAT
CTPS2
3OAS80
GLUDGS_HDE_HDE
AMPQT
PNTK
CYTK1
DHNCOAT
DHNPA_1
GMPS2
PRMICI
GLUDGE_HDE_PALM
GLUDGS_OLE_HDE
DAPNH4T
AIRC2
GLUDGE_HDE_HDE
TRNFE
PAPA_OLE_HDE
LYCBC2
ARGSS
EAR80y
CYSS_2
3HAD140
GLUPRT
NDPK2
TMDS3
UAMAGS
TKT1
GLYCLTDx
GLYCOX1
3OAS180
IMPD
ADOCBLS
DESAT16a
DMATT
ALAALAr
NGAM_D1um
SHCHCS3
DAPDC
5DOAN
RPI
UAGAAT2
PRUK
PMEACPE
FE3abcpp
GLUTRS
DGDGS_HDE_PALM
ASPTRS
RNDR2
FCLT
BM_DNA
SHS1
IGPS
NADK
HCO3tcx
PGMT
PRATPP
MECDPS
MEPCT
CYSDES
G5SADs
PIuabcpp
DBTS
PROTRS
