,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
3OAR180,0.157551,0.157551,0.157551,0.157551,0.193597,0.230826,0.268056,0.305286,0.342515,0.379745,0.222194,False,U
3HAD160,0.161838,0.161838,0.161838,0.161838,0.197297,0.233921,0.270545,0.307169,0.343793,0.380418,0.21857999999999997,False,U
EAR160y,0.161838,0.161838,0.161838,0.161838,0.197297,0.233921,0.270545,0.307169,0.343793,0.380418,0.21857999999999997,False,U
EAR120y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD120,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD80,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR140,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR100,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR160,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR80y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR140y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR40y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR120,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS100,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD140,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS80,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS60,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD40_1,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS120,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR60,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD60,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS160,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR100y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR60y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD100,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAS140,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR80,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
KAS15,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
H2Otex,0.381941,0.344041,0.306141,0.268241,0.692482,0.667829,0.537167,0.406505,0.377839,0.566757,0.18481599999999998,False,U
NGAM_D1um,0.00667,0.00667,0.00667,0.00667,0.086983,0.087433,0.087883,0.088333,0.1,0.1,0.09333000000000001,False,U
AGM3PH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159785,0.084097,0.084097,False,U
AM3PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159785,0.084097,0.084097,False,U
UM3PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159785,0.084097,0.084097,False,U
AGM4PCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159785,0.084097,0.084097,False,U
ILETA,-0.040805,-0.040805,-0.040805,-0.040805,-0.035224,-0.02946,-0.023696,-0.017932,-0.012168,-0.006404,0.034401,False,D
MAN6PI,-0.028068,-0.028068,-0.028068,-0.028068,-0.024229,-0.020264,-0.0163,-0.012335,-0.00837,-0.004405,0.023663,False,D
ORPT,-0.025524,-0.025524,-0.025524,-0.025524,-0.022033,-0.018428,-0.014822,-0.011217,-0.007611,-0.004006,0.021518000000000002,False,D
DHORTS,-0.025524,-0.025524,-0.025524,-0.025524,-0.022033,-0.018428,-0.014822,-0.011217,-0.007611,-0.004006,0.021518000000000002,False,D
NAt3ipp,1.968207,1.968207,1.968207,1.968207,1.971188,1.974266,1.977345,1.980423,1.983501,1.98658,0.018372999999999973,False,U
PHETA1,-0.01998,-0.01998,-0.01998,-0.01998,-0.017247,-0.014425,-0.011603,-0.00878,-0.005958,-0.003136,0.016844,False,D
AIRC3,-0.016533,-0.016533,-0.016533,-0.016533,-0.014272,-0.011936,-0.009601,-0.007266,-0.00493,-0.002595,0.013937999999999999,False,D
TYRTA,-0.012845,-0.012845,-0.012845,-0.012845,-0.011088,-0.009274,-0.007459,-0.005645,-0.00383,-0.002016,0.010829,False,D
IPDDI,-0.00884,-0.00884,-0.00884,-0.00884,-0.007631,-0.006382,-0.005134,-0.003885,-0.002636,-0.001387,0.007453,False,D
NDPK6,-0.001653,-0.001653,-0.001653,-0.001653,-0.001427,-0.001194,-0.00096,-0.000727,-0.000493,-0.000259,0.0013939999999999998,False,D
GLUDGS_OLE_HDE,0.000323,0.000323,0.000323,0.000323,0.000279,0.000233,0.000188,0.000142,9.6e-05,5.1e-05,-0.000272,False,D
AGPATACP_OLE_HDE,0.000323,0.000323,0.000323,0.000323,0.000279,0.000233,0.000188,0.000142,9.6e-05,5.1e-05,-0.000272,False,D
GLUDGE_OLE_HDE,0.000323,0.000323,0.000323,0.000323,0.000279,0.000233,0.000188,0.000142,9.6e-05,5.1e-05,-0.000272,False,D
PAPA_OLE_HDE,0.000323,0.000323,0.000323,0.000323,0.000279,0.000233,0.000188,0.000142,9.6e-05,5.1e-05,-0.000272,False,D
DGDGS_OLE_HDE,0.000323,0.000323,0.000323,0.000323,0.000279,0.000233,0.000188,0.000142,9.6e-05,5.1e-05,-0.000272,False,D
UAG2E,0.000612,0.000612,0.000612,0.000612,0.000528,0.000442,0.000355,0.000269,0.000182,9.6e-05,-0.000516,False,D
ACGAMT,0.000612,0.000612,0.000612,0.000612,0.000528,0.000442,0.000355,0.000269,0.000182,9.6e-05,-0.000516,False,D
ACMAMT,0.000612,0.000612,0.000612,0.000612,0.000528,0.000442,0.000355,0.000269,0.000182,9.6e-05,-0.000516,False,D
BCAROHX,0.000634,0.000634,0.000634,0.000634,0.000547,0.000457,0.000368,0.000278,0.000189,9.9e-05,-0.000535,False,D
BCAROHX2,0.000634,0.000634,0.000634,0.000634,0.000547,0.000457,0.000368,0.000278,0.000189,9.9e-05,-0.000535,False,D
GLUDGS_HDE_HDE,0.000642,0.000642,0.000642,0.000642,0.000554,0.000463,0.000373,0.000282,0.000191,0.000101,-0.000541,False,D
DGDGS_HDE_HDE,0.000642,0.000642,0.000642,0.000642,0.000554,0.000463,0.000373,0.000282,0.000191,0.000101,-0.000541,False,D
AGPAT161,0.000642,0.000642,0.000642,0.000642,0.000554,0.000463,0.000373,0.000282,0.000191,0.000101,-0.000541,False,D
GLUDGE_HDE_HDE,0.000642,0.000642,0.000642,0.000642,0.000554,0.000463,0.000373,0.000282,0.000191,0.000101,-0.000541,False,D
PAPA161,0.000642,0.000642,0.000642,0.000642,0.000554,0.000463,0.000373,0.000282,0.000191,0.000101,-0.000541,False,D
PHYFXOR,0.000709,0.000709,0.000709,0.000709,0.000612,0.000512,0.000412,0.000312,0.000211,0.000111,-0.000598,False,D
HOXGfx,0.000709,0.000709,0.000709,0.000709,0.000612,0.000512,0.000412,0.000312,0.000211,0.000111,-0.000598,False,D
FCLT,0.000709,0.000709,0.000709,0.000709,0.000612,0.000512,0.000412,0.000312,0.000211,0.000111,-0.000598,False,D
NADK,0.000852,0.000852,0.000852,0.000852,0.000735,0.000615,0.000495,0.000374,0.000254,0.000134,-0.000718,False,D
PDS2,0.000969,0.000969,0.000969,0.000969,0.000836,0.0007,0.000563,0.000426,0.000289,0.000152,-0.000817,False,D
NOR,0.000969,0.000969,0.000969,0.000969,0.000836,0.0007,0.000563,0.000426,0.000289,0.000152,-0.000817,False,D
ZDS,0.000969,0.000969,0.000969,0.000969,0.000836,0.0007,0.000563,0.000426,0.000289,0.000152,-0.000817,False,D
PDS1,0.000969,0.000969,0.000969,0.000969,0.000836,0.0007,0.000563,0.000426,0.000289,0.000152,-0.000817,False,D
PAPA_HDE_PALM,0.001003,0.001003,0.001003,0.001003,0.000865,0.000724,0.000582,0.000441,0.000299,0.000157,-0.000846,False,D
GLUDGS_HDE_PALM,0.001003,0.001003,0.001003,0.001003,0.000865,0.000724,0.000582,0.000441,0.000299,0.000157,-0.000846,False,D
AGPATACP_HDE_PALM,0.001003,0.001003,0.001003,0.001003,0.000865,0.000724,0.000582,0.000441,0.000299,0.000157,-0.000846,False,D
GLUDGE_HDE_PALM,0.001003,0.001003,0.001003,0.001003,0.000865,0.000724,0.000582,0.000441,0.000299,0.000157,-0.000846,False,D
DGDGS_HDE_PALM,0.001003,0.001003,0.001003,0.001003,0.000865,0.000724,0.000582,0.000441,0.000299,0.000157,-0.000846,False,D
MPOMMM,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
AHCi,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
MPOMT,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
MPOMOR,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
DVOCHR,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
CHPHYS,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
METAT,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
ADNK1,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
PCHLDA650,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
MPML,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
LPOR,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
MPOMC1,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
GGDPR,0.001009,0.001009,0.001009,0.001009,0.000871,0.000728,0.000586,0.000443,0.000301,0.000158,-0.000851,False,D
DCTPD,0.001653,0.001653,0.001653,0.001653,0.001427,0.001194,0.00096,0.000727,0.000493,0.000259,-0.0013939999999999998,False,D
UPP3S,0.001718,0.001718,0.001718,0.001718,0.001483,0.00124,0.000997,0.000755,0.000512,0.00027,-0.0014479999999999999,False,D
HMBS,0.001718,0.001718,0.001718,0.001718,0.001483,0.00124,0.000997,0.000755,0.000512,0.00027,-0.0014479999999999999,False,D
CPPPGO,0.001718,0.001718,0.001718,0.001718,0.001483,0.00124,0.000997,0.000755,0.000512,0.00027,-0.0014479999999999999,False,D
UPPDC1,0.001718,0.001718,0.001718,0.001718,0.001483,0.00124,0.000997,0.000755,0.000512,0.00027,-0.0014479999999999999,False,D
PPPGO2,0.001718,0.001718,0.001718,0.001718,0.001483,0.00124,0.000997,0.000755,0.000512,0.00027,-0.0014479999999999999,False,D
ASPO5,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
NNDPR,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
QULNS,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
NADS2,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
NNATr,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
SUCDum,0.001804,0.001804,0.001804,0.001804,0.001557,0.001302,0.001047,0.000793,0.000538,0.000283,-0.001521,False,D
RNDR2,0.0019,0.0019,0.0019,0.0019,0.00164,0.001372,0.001103,0.000835,0.000567,0.000298,-0.0016020000000000001,False,D
